"","TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS"
"1",3,3.2,1.16,-0.98,54.2,-0.567,NA,268,0.9928,3.33,-0.59,9.9,0,8,2
"2",3,5.8,0.76,0.33,-26,-0.195,87,-283,0.9885,3.07,0.56,11.4,-1,6,1
"3",0,3.2,0.47,0.3,41.7,-0.058,-160,135,0.9976,1.33,NA,9.4,0,9,NA
"4",0,5.8,-0.68,3.26,-11.4,0.056,23,65,0.99755,4.12,-0.34,9.7,-2,6,NA
"5",5,17.2,0.37,1.72,-54.7,0.028,24,84,0.9909,2.75,0.18,11.7,1,7,3
"6",3,13.6,-0.81,1.22,-27.8,0.039,46,11,0.9982,4.16,-1.22,10.6,0,8,1
"7",4,5.8,-0.91,0.1,47.2,0.044,-238,63,1.02787,3.01,NA,6.4,1,7,1
"8",4,14.6,0.38,1.51,73.7,-0.271,-51,137,1.01893,4.02,1.98,12.1,0,8,3
"9",5,13.8,-1.07,0.49,53.3,0.342,305,161,0.9937,3.01,0.28,12.1,1,8,3
"10",7,0.8,0.46,1.94,-8.3,0.356,41,193,0.9928,3.6,0.35,12.2,2,8,4
"11",0,18.7,-0.2,0.56,1.9,-0.278,-64,60,1.07733,4.83,0.58,8.7,1,12,NA
"12",3,16.9,0.41,1.24,-15.2,0.042,92,293,0.95241,2.86,1.99,9.7,-1,8,2
"13",4,7.6,0.7,0.38,1.9,-0.06,-252,188,0.98962,3.18,-0.94,12.4,0,7,3
"14",5,14.6,0.51,1,NA,0.037,-120,467,1.01275,3.1,1.62,7.8,1,9,2
"15",0,10.4,0.06,0.78,66.4,0.293,6,10,1.0055,3.9,0.65,11.8,1,11,NA
"16",0,-4.7,-1.25,0.31,1.7,0.079,111,NA,0.99716,3.43,1.12,2.8,1,8,NA
"17",4,7.5,0.36,0.29,1.5,0.046,239,7,0.95322,2.62,0.45,5.8,0,8,1
"18",4,2.5,0.29,1.62,1.7,0.024,-228,NA,0.98923,3.5,0.59,6.4,-1,7,1
"19",0,3.3,-0.48,0.69,14.2,0.078,12,-174,0.9958,3,NA,18.2,0,13,1
"20",5,6.9,0.21,1.16,6.3,0.042,-203,109,0.99358,3.83,NA,NA,1,8,2
"21",5,14.3,0.24,0.29,70.1,0.42,56,157,1.02798,4.33,1.68,9.8,1,7,4
"22",6,6,1.08,0.24,-31,-0.411,NA,126,1.02658,4.5,NA,9,1,7,3
"23",3,7.1,0.28,-0.96,1.9,0.615,12,86,0.90037,3.15,1.12,9.4,0,8,2
"24",4,6.8,0.52,-0.63,-22.6,0.128,-194,-72,0.9972,3.27,1.41,4.1,0,8,2
"25",0,5.1,2.81,0.8,-0.4,0.053,13,-287,1.0039,3.22,0.39,11.5,2,6,NA
"26",0,13,0.43,1.07,NA,-0.079,-18,486,0.95632,3.02,-0.83,11.7,-1,7,NA
"27",0,6.9,-0.56,1.36,13.5,0.27,-174,31,0.95191,3.84,-0.48,9.8,1,7,NA
"28",4,7.7,0.79,1.2,-21.4,-0.125,484,-147,1.01184,0.72,-0.26,11.3,-1,8,2
"29",4,6.4,0.09,0.37,5.4,0.026,27,80,1.03243,3.44,-0.5,12.7,1,8,3
"30",2,0.5,0.165,0.07,NA,0.133,-70.5,588,0.94748,3.53,0.53,12.5,0,7,NA
"31",1,7.1,0.21,0.74,123.2,0.413,23,106,0.99405,3.35,NA,8.8,-1,8,1
"32",1,12.9,0.35,0.35,-28,0.034,-125,148,0.96527,3.73,0.12,9.8,-1,7,NA
"33",5,7.4,0.13,0.39,4.7,-0.078,165,137,0.96213,3.36,0.56,7.1,0,8,3
"34",0,6,1.06,0,1.4,0.057,-175,27,0.98917,3.36,0.45,14.5,0,7,1
"35",5,10.2,0.4,-0.16,0.9,0.048,23,170,0.993,3.22,0.27,8.7,1,7,1
"36",3,-2.7,0.56,0.22,34.2,0.034,-260,-91,1.00564,4.22,-0.73,9.1,0,7,2
"37",0,7.5,0.38,0.4,2.3,1.275,5,12,0.99605,2.61,0.55,11.4,0,8,NA
"38",0,7.4,-1.14,-1.14,94,0.924,18,38,0.9933,1.92,NA,13.6,-1,8,NA
"39",3,7.3,0.28,2.05,12.9,0.049,62,162.5,0.95841,3.43,0.45,NA,-1,8,2
"40",0,-9.3,1.665,-0.58,50.4,0.046,31,-281,0.9929,2.29,0.61,6.3,-1,7,NA
"41",4,7.4,0.29,0.13,96,0.044,192,114,0.992,2.21,1.71,12.6,0,8,3
"42",3,10.4,0.13,0.37,-34.65,0.462,36,105,0.99581,3.05,0.55,10.7,-1,8,2
"43",4,6.2,0.28,-2.43,28.1,-0.537,-53,289,0.9957,3.44,1.34,9.8,-1,7,4
"44",4,5.8,0.27,-0.96,3.5,-0.063,26,69,0.94491,1.96,0.5,8.5,0,6,2
"45",4,8.1,1.3,0.22,6.4,0.056,44,272,0.96467,3.13,1.01,10.1,0,8,4
"46",3,6.8,-0.22,0.37,34.2,0.349,35,208,0.9773,4.85,-0.55,10.2,0,7,3
"47",2,7.2,0.615,1.28,1.4,0.068,NA,154,1.02237,2.61,-0.12,9.7,0,8,NA
"48",4,4.8,-0.72,-0.03,1.1,0.048,38,180,0.98924,2.76,0.34,11.9,0,5,2
"49",2,5.6,-0.44,0.05,0.8,0.627,210,30,0.95673,3.36,0.35,9.2,-1,6,1
"50",6,6.6,0.54,0.21,6.6,-0.045,123,182,0.9986,2.31,0.54,10.4,2,7,3
"51",4,6.3,0.24,1.77,47.1,0.04,67,348,1.03894,3.88,NA,9.2,1,7,2
"52",4,30.5,0.26,0.47,1,-0.283,183,154,0.99659,3.1,0.56,9.8,1,7,2
"53",3,7.1,-1.1,-1.05,5.1,0.538,197,426,0.99518,3.5,0.92,10.2,-1,8,NA
"54",5,-0.5,0.41,3.22,-11.9,0.463,278,-158,1.00168,3.14,-1.67,14.7,1,7,2
"55",5,-4.8,1.61,0,2.2,0.087,3,369,0.99378,3.64,NA,7.1,0,6,1
"56",6,6.1,0.27,0.33,64.5,0.021,172,117,0.98747,NA,1.04,12.5,2,7,3
"57",0,8.4,0.4,-0.78,-59.3,NA,-136,47,0.9683,2.18,0.77,10.5,1,10,NA
"58",5,12.7,0.24,-0.63,4.9,NA,277,-21,0.99282,2.78,-0.29,10,1,10,4
"59",2,20.5,0.94,0.24,66.3,0.448,25,-71,0.99502,3.22,0.44,10.5,-1,7,NA
"60",4,13.6,0.26,0.45,1.5,-0.377,31,98,0.99215,3.02,0.56,9.7,0,9,2
"61",5,4.9,0.775,0.27,11.75,-0.205,281,118,1.0077,2.19,NA,14.5,1,5,2
"62",5,12.1,-1.365,0.32,NA,0.051,34,106,1.01429,3.54,2.54,9.2,1,7,3
"63",4,6.8,0.32,0.21,2.2,0.288,241,68,0.9932,1.4,-0.08,9.4,0,7,2
"64",0,-2,0.72,0.68,48.6,0.123,6,406,1.04715,4.49,0.58,11.2,2,8,NA
"65",4,6.1,0.41,-0.65,-39.1,-0.427,315,142,0.97492,4.42,0.62,15.8,1,7,NA
"66",0,18.7,0.42,0.46,-13.9,-0.075,154,16,1.06229,3.04,0.74,14.3,0,11,NA
"67",0,10.5,0.29,0.23,-22.5,0.037,-180,99,0.99528,3.08,0.38,8.4,0,7,1
"68",4,6.6,1.21,-1.81,-12.2,-0.654,-92,457,0.95412,3.36,0.62,10.5,0,7,1
"69",4,17.3,0.94,0.88,24.8,-0.094,41,113,0.9962,3.42,0.4,9.3,-1,7,2
"70",5,6.3,0.52,0.21,41.6,0.049,58,486,0.96199,2.71,-0.67,11.3,1,7,3
"71",3,11.9,-0.2,0.03,16.4,0.064,90,120,0.98832,3.22,1.87,11.6,0,7,2
"72",3,5.6,0.16,1.77,NA,-0.563,29,140,0.99048,3.02,0.78,12.5,-1,8,2
"73",3,17.4,0.47,0.49,-11.2,0.271,6,-282,1.02043,3.3,0.68,14.7,-1,14,NA
"74",4,1.6,0.18,1.92,-13.7,-0.258,29,NA,0.97362,4.38,0.42,7.8,0,8,2
"75",0,7.8,0.775,1.51,63.6,0.078,24,-314,0.9984,3.31,0.67,15.7,2,10,1
"76",1,7.4,-1.01,0.31,43.2,-0.578,253,-170,0.99094,2.59,0.76,NA,-1,8,1
"77",3,6.2,0.29,0.23,NA,0.16,-12,-88,0.99612,4.8,1.15,9.9,-1,7,1
"78",5,-4.4,1.66,0.3,7.1,0.037,63,236,0.9952,1.91,-0.45,NA,1,7,3
"79",4,16.6,1.64,0.64,1,0.188,258,-486,1.03972,NA,2.01,10.8,0,8,2
"80",2,-2.5,0.99,0.56,18.95,-0.251,-57,-74,0.95866,3.2,2.08,9.6,-1,8,1
"81",0,9.2,0.28,-0.71,-35.2,0.163,14,-109,0.94515,2.96,0.25,10.5,0,10,1
"82",5,7.2,0.22,-0.56,27.4,0.022,34,-69,0.99,3.05,NA,12.7,1,8,3
"83",3,6.6,0.69,0.19,13.3,-0.465,-36,82,1.00165,3.13,2.14,9.9,1,7,2
"84",4,16.1,0.22,0.49,1.5,-0.073,-153,-162,0.99919,4.46,0.46,9.6,1,7,2
"85",0,8.3,0.59,0.07,3.4,NA,-463,416,1.00015,2.72,0.71,9.8,-1,11,NA
"86",0,4.7,0.57,0.02,NA,0.077,-37,-77,0.90436,4.12,0.6,13.6,0,8,1
"87",5,-4.1,0.19,0.59,NA,0.036,-106,55,0.9909,3.14,0.68,NA,0,7,4
"88",4,10.6,0.02,0.24,10.8,0.042,-88,130,1.03297,2.15,0.4,10.1,0,7,2
"89",6,6.8,0.52,0.49,14,-0.073,93,156,0.9958,3.14,0.84,11.8,1,9,2
"90",4,7.4,-0.5,1.16,-23.5,-0.409,39,284,1.02924,2.27,1.94,4.4,0,8,2
"91",4,7,-0.79,0.34,59.6,-0.56,12,67,0.9976,3.64,-2.19,13,0,8,3
"92",5,6.4,0.92,0.27,5,0.621,-118,151,0.99198,3.22,0.49,17.2,1,7,1
"93",4,13.1,0.425,0.29,2.2,-0.087,NA,67,0.97345,3.76,0.49,11,0,5,3
"94",3,-2.3,0.33,1.36,16.05,0.045,-173,NA,0.99017,3.08,0.52,9.2,0,7,1
"95",0,8.8,0.18,1.52,1.25,0.031,-252,172,0.96139,3.94,NA,4.4,-1,7,NA
"96",3,7.8,0.27,1.41,26.5,-0.053,NA,535,0.94732,3.22,0.44,20.9,0,8,NA
"97",5,5.8,-0.55,1.26,63.8,0.036,-252,-109,0.97198,NA,0.59,NA,1,6,2
"98",3,5.5,0.24,1.37,-14.6,0.06,-69,102,0.994,3.44,-0.83,19.4,0,6,2
"99",0,4.2,2.055,-0.91,2.5,-0.379,NA,151,0.97799,3.53,0.57,5.3,-1,8,NA
"100",5,11.8,0.21,0.32,86.1,0.264,179,470,0.98667,2.51,1.15,10,0,8,3
"101",0,-2.9,0.45,0.07,31,0.03,-116,131,0.9905,3.57,0.28,6.5,1,7,NA
"102",3,14.3,-0.38,0.9,-103.3,-0.533,37,359,1.01753,3.08,0.46,9.9,-1,7,2
"103",7,7.1,-0.51,-0.95,14.4,-0.058,35,-6,0.9986,3.07,0.53,5.6,2,8,3
"104",0,6.2,0.42,0.34,1.1,0.03,-131,613,1.00296,1.24,0.45,8.3,-1,7,1
"105",3,-0.3,0.925,0.22,-40.3,-0.496,71,84,0.98972,3.06,0.57,10.1,0,12,2
"106",5,5.1,-0.04,1.58,2.3,-0.26,40,-468,0.98944,3.55,0.94,-1.2,1,6,3
"107",0,-3.9,1.5,0.26,2.5,0.097,250,31,0.94366,3.27,0.92,3.6,0,10,1
"108",4,6.9,0.35,-0.58,11.95,-0.511,182,111,0.99687,3.11,0.29,9.7,1,8,2
"109",0,1.7,-0.965,1.35,32.5,0.043,-147,395,0.9936,3.08,-2.12,NA,-2,8,NA
"110",0,8,0.5,2.1,-47.4,-0.416,5,339,1.0002,3.19,0.44,9.5,1,13,2
"111",5,14.5,0.25,-0.52,62.4,0.082,50,421,0.9995,3.03,-0.59,9.2,1,9,2
"112",4,6.9,-1.04,0.36,1.3,0.036,126,381,1.01811,2.17,0.95,-1.6,-1,7,1
"113",4,7.4,-0.66,0.05,-3.1,-0.568,-289,346,0.9951,3.1,NA,10.6,0,8,3
"114",3,-0.2,0.36,0.31,4.1,0.061,20,134,1.02871,3.18,0.28,4.2,-1,7,1
"115",3,21.1,-0.69,0.43,-45.7,0.581,-235,72,0.9918,3.23,0.53,14.4,-1,8,1
"116",4,-12.5,1.35,0.29,24.6,0.036,-185,579,0.99168,2.59,0.43,12.2,0,8,2
"117",4,-3.4,-0.015,0.33,25.8,0.049,28,222,0.9927,2.97,1.01,10,1,6,1
"118",3,17,0.14,0.28,-44.4,0.041,15,235,0.9954,3.45,0.43,5.3,-1,8,1
"119",0,-0.6,0.14,0.27,4.5,-0.423,27,95,0.99175,2.68,1.18,14.1,0,8,2
"120",4,7.3,0.32,-2.33,12.7,0.04,-505,140,1.0602,3.3,-0.07,11.7,0,8,1
"121",4,7.4,-0.47,0.49,-40.7,-0.06,148,150,0.9917,3.23,0.49,20.9,0,8,2
"122",6,5.9,0.24,0.26,-43.7,-0.743,36,767,0.99316,3.44,0.51,10.4,1,9,3
"123",3,7.9,0.18,0.33,-14.9,0.033,67,NA,0.98946,2.92,0.85,10.5,-2,8,1
"124",5,5.9,0.25,1.76,1.5,0.029,NA,81,0.9892,3.23,0.46,12.2,1,6,2
"125",4,1.6,0.26,0.16,6,-0.223,192,125,0.98891,3.13,0.55,10.7,0,8,1
"126",5,5.9,0.28,1.78,8.6,0.032,30,349,0.99542,3.28,0.44,7.4,1,6,3
"127",1,9.3,0.68,-1.6,6.1,0.075,-238,77,0.9822,3.38,1.65,15.6,-2,8,2
"128",3,8.3,0.72,-0.33,1.3,0.055,32,846,0.96916,3.72,0.39,4.8,-1,9,2
"129",6,18.5,-1.14,-0.78,14.2,0.01,53,423.5,0.95596,3.14,0.46,5.7,0,8,3
"130",4,-0.1,0.04,-0.15,6.3,0.054,34,-125,0.9964,2.7,0.54,10,0,8,1
"131",0,8,0.3,0.49,44.3,0.046,316,177,0.9964,2.64,0.32,10,2,9,NA
"132",0,6,-0.85,0.74,-22.8,0.308,56,-21,0.99398,4.25,-0.05,10.5,-1,7,NA
"133",0,-0.3,0.67,-0.32,-26.1,-0.29,10,11,0.99848,3.29,0.24,9.9,0,8,1
"134",0,17.1,0.99,0.95,10.1,0.58,-223,178,0.9931,4.16,1.6,10.6,0,8,NA
"135",4,10,0.2,-0.58,41.8,0.035,NA,138,1.03932,3.17,0.44,11.7,-1,8,2
"136",3,6.8,0.22,0.62,17.5,0.039,25,-99,0.9994,3.24,0.02,17.9,-1,7,1
"137",3,-4,0.51,1.97,-27,-0.449,13,212,0.99335,3.09,0.51,12.8,0,9,NA
"138",4,11.2,0.27,-0.63,39.2,1.27,239,163,0.97418,3.2,1.71,9.3,1,7,2
"139",2,-4.2,1.8,0,1.3,-0.556,72,-102,1.0269,3.56,1.35,10.9,-1,6,1
"140",3,6.3,-0.47,-0.75,14.9,0.542,107,287,1.00808,2.04,-0.99,11.3,-1,7,1
"141",5,7.3,-0.22,0.37,1.8,0.032,-180,431,0.992,2.59,0.35,13.1,1,8,4
"142",3,7.1,-0.29,0.3,NA,0.053,-19,510,0.9965,2.47,2.71,3.6,0,8,NA
"143",3,14.4,0.28,0.23,10.4,0.107,-240,190,0.99754,3.53,1.37,0.6,0,7,2
"144",5,10.5,1.09,0.34,NA,1.043,32,95,0.989435,2.96,NA,12,1,7,3
"145",0,17.3,0.32,1.12,1.8,0.174,17,154,0.9969,3.04,1.08,9.2,0,9,NA
"146",3,16.6,0.23,-0.9,-44.5,-0.529,22,330,0.96511,3.22,0.35,17.1,-1,8,NA
"147",6,6.5,-0.32,-0.97,64.9,-0.241,48,256,0.98111,3.97,-0.35,NA,1,7,4
"148",3,15.2,-2.6,0.29,29.7,0.051,36,174,1.04905,3.14,0.5,NA,0,7,3
"149",0,5.6,1.495,-0.76,36.8,-0.39,16,-363,0.92568,4.21,2.01,4.7,1,6,NA
"150",6,13.4,-0.04,1.67,-23.9,0.044,258,91,1.00539,4.5,NA,9.5,1,7,1
"151",3,12.1,0.3,-0.92,6.3,0.057,229,-46,1.0388,3.66,1.39,9.6,0,7,2
"152",2,6.4,0.08,-0.68,53.4,0.469,28,178,0.9896,3.31,0.45,12.1,-1,7,1
"153",3,6.1,0.33,0.65,62.4,0.047,NA,263,1.01033,3.22,-0.7,15.5,0,9,2
"154",3,5.2,0.27,1.05,14,0.05,-120,2,0.9979,3.18,0.58,11.7,-1,8,2
"155",4,18.5,0.115,0.43,44.8,0.048,54,-266,0.9946,4.23,0.44,22.7,0,7,2
"156",2,14.2,1.13,-1.15,1.8,0.05,NA,NA,0.99268,1.3,NA,11.9,0,7,NA
"157",2,7.2,-0.44,0.37,10.4,-0.084,76,458,0.9976,4.24,0.42,8.7,-1,8,2
"158",7,5.8,0.16,-0.71,2.2,0.037,-91,125,0.98986,3.36,0.33,8.3,1,6,3
"159",4,0.8,0.44,0.81,NA,0.053,57,-33,0.99174,3.22,0.39,19.1,0,7,1
"160",4,7.9,1.55,0.24,29.4,0.031,-180,140,0.97539,3.34,0.09,17.2,0,6,1
"161",5,-2.1,0.43,1.84,67.8,-0.34,143,118,0.99452,3.03,0.37,-0.9,1,7,2
"162",0,7.3,-1.21,0.03,NA,0.103,37,189,0.99502,3.19,1.67,12.9,0,8,NA
"163",0,6.7,0.29,0.81,3.5,0.036,23,92,1.00716,4.02,-0.5,11.2,0,7,NA
"164",2,14.1,0.43,0.42,-9.1,0.035,18,86,0.9908,3,0.39,6.1,-1,8,1
"165",4,6,0.3,-1.03,-17.7,-0.13,24,127,1.03871,3.32,-0.58,8.6,0,7,1
"166",5,10.5,1.49,0.31,-1.2,0.036,45,145,0.99216,2.98,-0.69,15.2,0,8,2
"167",3,7.3,1.67,0.22,-10.7,NA,43,-389,0.99286,3.14,-0.44,9.9,0,8,2
"168",2,8.3,-0.55,0.01,7.8,0.522,32,139,0.92862,4.41,0.88,16.6,-2,9,NA
"169",0,8.2,0.6,0.27,2,-0.371,30,245,0.95089,NA,0.62,NA,1,9,NA
"170",4,16.6,0.34,-1.39,46.4,0.082,221,87,1.04544,4.34,0.48,5.6,1,7,NA
"171",4,6.5,0.23,-0.93,NA,0.038,43,133,0.99924,4,0.41,8.8,1,7,1
"172",0,7.4,0.5,2.68,36,-0.011,15,18,0.99448,3.52,-1.02,9.5,0,7,NA
"173",3,9.7,-2.73,0.4,-41.5,0.079,19,112,1.03273,2.87,-0.04,11.2,-1,9,1
"174",3,-13.9,-0.97,-0.65,-17.8,-0.043,23,-159,1.02838,3.17,0.66,14.1,0,8,1
"175",4,15.3,1.5,1.33,-16.1,-0.544,30,356,0.95706,3.24,-0.46,9,1,7,1
"176",4,7.2,0.38,-0.57,-38.4,0.489,434,186,0.9956,2.34,0.37,14,0,8,2
"177",2,4.9,-0.93,0.31,5.3,0.043,93,4,0.95441,3.35,-0.2,10.5,-1,7,1
"178",2,7.1,0.35,0.36,11.95,-0.262,105,111,1.04422,5.63,1.35,11.5,-1,8,1
"179",4,18,0.16,1.71,-54.9,-0.311,29,-209,0.98972,3.23,0.36,12.1,0,7,2
"180",4,6.3,0.17,1.21,NA,0.028,45,606,0.9908,2.29,0.43,13,0,7,2
"181",4,8.5,-0.73,0.74,-28.15,0.15,-187,255,0.9859,1.78,-1.88,9.2,1,10,3
"182",0,7.1,0.17,-1.2,2.8,0.034,-130,-34,0.99152,3.91,-0.26,9.6,0,7,NA
"183",3,6.2,-0.2,1.08,2.8,0.04,7,125,0.98954,3.01,0.46,9,0,7,2
"184",1,6.4,0.46,0.22,106.8,0.047,51,183,0.952735,3.71,0.29,10.5,-2,7,1
"185",3,6.4,-0.65,0.32,6.5,-0.066,-1,174,0.96211,2.44,0.48,9.4,0,7,1
"186",3,5.6,-2.72,1.62,-31.2,0.04,563,120,0.99026,6.05,0.39,4.7,0,6,NA
"187",3,6.9,0.24,0.34,51.4,0.254,43,-12,0.98056,3.29,0.59,8.8,-1,7,3
"188",0,8.5,0.28,-0.52,2.1,0.137,-281,9,0.99376,4.09,0.4,17.5,-1,9,NA
"189",3,6.3,0.23,0.49,71.3,0.05,67,210,0.95092,2.24,-0.16,21.8,0,7,2
"190",4,6.8,1.31,0.05,1.6,0.588,264,173,1.0167,2.52,0.17,2.2,0,8,3
"191",5,6.4,-0.58,0.26,5.6,0.044,308,160,0.9949,3.6,0.47,10.6,1,7,1
"192",4,-1.9,0.73,-0.51,10,0.377,-156,-254,0.997,3.4,-1.07,15.3,0,8,2
"193",4,4.2,-0.33,3,-24.2,0.285,37,221,1.0291,3.25,0.54,10.4,0,7,4
"194",5,7.7,0.26,1.96,2.6,0.045,300,1016,1.02666,3.32,0.5,7.1,1,8,NA
"195",3,16.7,0.34,0.33,-51.9,0.036,64,327,0.9966,2.37,0.4,10.2,0,9,NA
"196",3,6.5,0.29,-0.37,9.15,-0.036,-45,166,0.99339,4.48,NA,8.633333333,-1,7,2
"197",3,9.3,0.18,1.77,82.15,0.109,53,474,0.99724,3.25,0.35,8.8,-1,7,NA
"198",6,7.1,0.73,2.45,NA,0.236,35,115,0.98665,2.45,1.88,13.5,1,8,2
"199",0,10.7,-1.02,-0.38,11.6,0.613,45,178,0.99691,3.33,0.43,7.7,0,7,NA
"200",6,6.8,0.46,0.26,2.7,-0.276,28,155,1.02844,3.38,-1.03,8.8,0,8,2
"201",5,8,2.79,0.33,7.7,0.034,43,212,0.98489,NA,0.41,0.3,0,9,2
"202",0,6.8,-0.55,0.36,NA,0.028,7,-170,0.99175,2.22,0.6,14.7,-1,7,NA
"203",4,-5.1,0.4,0.22,5.95,0.081,76,303,0.97847,3,0.19,9.4,1,8,1
"204",0,4.7,0.35,0.41,-53.6,0.083,11,61,1.04352,2.08,NA,6.4,-1,11,NA
"205",0,16.8,1.25,-2.04,44.5,0.08,-256,417,1.00918,4.5,0.71,9.6,0,8,1
"206",4,7.4,0.19,0.49,9.3,0.48,26,-288,0.994,1.84,0.32,8,-1,8,NA
"207",3,7.8,0.25,-1.23,1,0.043,218,80,0.99128,3.99,-0.52,22.5,0,8,NA
"208",5,11.3,0.76,0.67,5.2,0.861,35,19,0.9988,4.41,NA,13.4,-1,13,3
"209",4,14.2,0.21,0.24,4.4,0.027,-450,150,0.97534,3.26,-0.01,2.6,-1,6,NA
"210",4,-9.9,-0.39,0.03,-15.8,0.086,166,-125,0.95749,3.53,-0.1,7.2,1,7,4
"211",0,-1.2,0.25,0.41,59.8,0.037,253,165,0.95184,2.2,0.39,10.9,2,8,NA
