"","TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS"
"212",5,6.2,0.88,1.25,NA,NA,-169,105,1.01571,2.71,0.51,11.1,0,7,3
"213",0,-0.8,-0.4,0.34,5.1,0.062,8,22,0.9974,2.36,NA,10.9,0,9,NA
"214",0,15.4,1.64,1.83,-39.5,0.634,NA,44,0.97116,4.35,-0.05,3.3,-2,10,NA
"215",2,9.9,0.68,0.24,-26.4,0.034,17,-126,0.9933,1.9,0.36,9.6,-1,7,3
"216",5,7.4,-0.85,1.24,2.4,0.202,58,-224,0.9941,3.42,0.68,9.4,1,8,2
"217",4,-4.8,-0.93,0.27,6.6,0.054,-175,158,0.99378,4.27,0.48,17.2,1,7,2
"218",0,5.6,0.49,-0.24,4.5,0.039,23,474,0.94117,3.42,0.9,13.7,-1,6,1
"219",0,5.7,1.21,0.03,1.5,0.172,-270,19,0.97348,2.61,NA,10.1,1,7,1
"220",2,17,-0.19,1.93,-33.5,NA,55,158,0.99642,3.24,0.37,16.3,-1,7,1
"221",0,10.7,0.1,0.39,7.6,0.52,-93,615,0.9965,3.11,NA,13.4,1,8,NA
"222",5,7.1,0.17,-2.7,14.55,0.047,-78,705,0.99945,3.34,1.03,9.1,1,8,1
"223",0,17.3,0.28,-1.05,11.6,0.41,194,-295,0.989,2.98,-0.43,13.1,1,7,NA
"224",0,7,0.57,0.02,-34.1,0.072,17,198,0.99575,3.36,0.61,10.2,1,8,NA
"225",3,-9.1,0.13,0.36,62.2,-0.198,10,173,0.96984,2.9,0.91,15.8,-1,8,1
"226",4,-0.6,0.23,1.8,-25,0.631,118,12,0.96841,1.16,0.52,10.5,0,7,4
"227",4,8.5,1.15,0.28,3.1,-0.369,54,169,1.02191,4.43,-1.34,12.6,0,9,2
"228",4,14.9,0.77,1.03,10.4,-0.173,44,340,1.0006,3.11,NA,9.7,0,8,2
"229",1,2.6,1.005,-1.08,NA,-0.283,34,497,0.98707,3.93,NA,10.2,-1,11,1
"230",2,-0.9,-0.1,0.56,49,0.046,321,168,1.03005,3.45,0.68,10.1,-1,7,2
"231",5,-11.2,0.25,1.55,8,0.043,31,207,0.96213,3.19,0.42,5.5,1,6,4
"232",2,17,0.28,0.18,1.2,-0.462,-120,108,0.96855,3.23,1.78,9.35,0,6,NA
"233",2,9.8,1.19,0.45,1.6,-0.329,11,124,0.9944,2.93,NA,9.6,-1,11,NA
"234",3,-3.6,0.14,0.08,31.4,-0.366,7,47,0.97842,4.31,1.02,4.9,-1,9,1
"235",4,6.1,0.27,0.32,-14.8,-0.488,173,161,0.96947,3.22,-0.55,10.9,0,7,3
"236",0,19.5,0.55,0.09,2.2,NA,14,56,0.95506,3.21,1.94,10.6,0,9,NA
"237",5,6.6,0.14,0.45,1.5,0.615,18,98,0.97179,3.32,-2.55,15.4,1,9,4
"238",3,4.5,0.27,0.25,1.2,0.033,36,440,0.98918,3.42,1,12.4,-1,7,2
"239",5,5.7,0.265,-1.11,6.9,NA,46,150,0.99299,3.36,0.44,9,0,6,NA
"240",0,15.5,0.41,0.59,-51.2,0.494,282,115,0.9901,3.12,2.14,12.89333333,0,7,1
"241",3,-1.7,0.23,0.1,-13.1,0.395,274,103,0.99699,2.9,0.31,12,0,8,NA
"242",4,7,0.21,0.11,8.6,0.257,37,1057,0.9954,2.07,1.7,10.4,0,7,2
"243",6,6.4,-0.76,0.28,2.5,0,145,214,0.98946,3.22,1.53,NA,2,7,3
"244",2,16,1.04,1.83,14.6,0.053,285,80,1.01857,2.02,1.49,9.2,-1,8,1
"245",0,11.5,1.48,-1.98,49.4,0.097,29,378,1.0001,3.1,1.67,5.2,0,12,1
"246",5,-0.7,-1.26,0.44,11.3,0.046,65,146,1.01929,3.93,1.41,-2.4,1,8,3
"247",4,6.9,-0.45,-0.44,0.9,0.275,-144,156,1.0155,2.55,-1.01,6.3,0,8,1
"248",0,18.9,0.56,0.19,NA,-0.02,207,47,0.9964,2.04,1.62,15.3,0,9,NA
"249",0,16.2,0.25,1.56,-25.6,0.211,46,316,0.94643,1.78,NA,NA,1,8,NA
"250",3,2.2,0.15,0.72,60.3,0.046,123,NA,0.97509,1.68,0.38,10.2,-1,9,NA
"251",4,10,0.565,-0.44,46,0.093,16,112,0.9998,3.38,0.61,-0.8,1,10,NA
"252",4,7.6,0.13,-0.45,-43,-0.41,40,126,0.95401,3.62,0.39,9.6,1,8,3
"253",4,13.8,0.96,0.32,15.3,-0.019,64,185,0.97741,3.31,1.29,9.4,1,7,3
"254",3,8.3,0.17,0.31,58.1,0.049,48,153,0.99423,3.12,0.88,9.4,-1,9,2
"255",3,1.3,0.1,-0.71,6.5,0.027,-124,126,0.99124,3.36,NA,12.5,-1,9,2
"256",4,8.5,1.5,0.27,49.4,0.031,297,334,0.95245,3.01,0.33,12,0,9,1
"257",6,5,-0.11,1.74,8.3,0.419,35,164,0.99944,3.53,1.03,12.5,0,6,2
"258",5,6.4,0.29,-0.01,34.7,0.037,188,217,0.96482,2.9,0.66,14.3,0,7,2
"259",3,7.4,0.32,-1.32,44.6,0.051,50,367,0.9955,3.28,0.68,2.2,0,8,NA
"260",0,6,0.44,0.96,-18.8,-0.442,225,504,0.99151,4,-0.64,7,-1,7,NA
"261",4,23,0.26,0.49,-28.7,NA,55,-108,0.96753,3.19,-1.2,NA,1,7,1
"262",0,17.7,0.55,0.66,NA,0.387,102,37,1.01475,2.43,1.15,9.6,0,11,NA
"263",4,7.9,0.39,0.39,0.3,0.057,NA,221,1.02135,3.79,2.23,14,0,7,3
"264",3,7.5,1.41,0.06,1.6,0.694,-180,-482,0.9978,3.16,-0.2,9,0,8,2
"265",2,6.7,-0.25,1.25,14.3,0.048,79,149,0.9975,3.12,NA,13.2,-1,7,1
"266",3,-3.2,-0.61,-0.12,0.8,0.022,51,180,0.94975,3.56,-0.26,9.7,-1,7,2
"267",4,6.9,0.68,1.19,46.2,0.081,-100,-277,0.9924,4.27,0.4,10.8,0,7,2
"268",3,-3.4,1.21,0.02,-36.9,-0.08,-157,221,0.99911,2.01,0.5,11.5,0,7,2
"269",4,6.5,1.4,0.14,2.4,NA,265,37,0.97898,3.66,-0.39,9.8,1,7,1
"270",0,6.2,1.12,1.3,-56.1,NA,209,255,1.0363,3.45,0.87,12.4,1,7,NA
"271",4,8.2,-0.09,-1.29,8.1,0.035,60,163,0.9879,3.05,0.3,7.6,0,9,3
"272",0,7.5,-1.03,-0.64,13.2,NA,-17,609,0.96482,4.06,0.8,9,0,8,NA
"273",5,17.2,0.24,0.42,1.1,-0.165,-124,22,0.98321,2.04,1.05,16.7,0,11,3
"274",5,14.8,0.89,-0.34,8.1,0.291,53,-263,0.96192,1.72,0.41,11.6,1,8,4
"275",0,1.8,0.2,0.57,1.5,0.898,315,507,1.01938,3.35,0.92,14.6,-1,7,1
"276",0,14.6,0.59,0.42,13.3,-0.089,35,233,1.00235,NA,0.7,7.5,0,11,NA
"277",6,12.6,0.27,0.27,-51.4,0.034,25,122,1.005,3.91,-1.05,6.3,2,8,2
"278",4,26.8,0.69,1.09,1.5,0.031,17,122,1.02856,3.25,2.04,10.3,0,9,2
"279",0,-1.4,-0.16,0.61,15.5,NA,31,485,0.99408,3.19,0.44,13,0,7,1
"280",0,5.5,2.08,1.05,1.7,0.47,12,-124,0.99623,3,-0.29,9.2,1,10,1
"281",4,12.9,0.445,-0.53,14.5,0.045,-76,42,0.9986,4.66,1.54,16.9,0,8,NA
"282",4,6.4,0.32,0.23,16.2,0.055,36,619,0.9986,3.22,0.68,9.1,1,7,1
"283",0,19.7,0.6,0.25,-2.1,-0.399,9,38,1.03295,3.94,NA,8.3,0,9,NA
"284",3,8.5,-0.67,0.72,1.1,-0.17,NA,-221,1.02312,3.09,-0.53,9.5,1,8,1
"285",3,17,0.61,-0.39,73.9,0.042,62,-128,1.0184,3.15,-0.24,NA,0,7,2
"286",3,6,-0.61,1.4,31.4,0.063,279,109,1.02524,3.69,0.71,10,0,7,1
"287",5,7.5,0.31,0.24,34.7,0.031,28,141,0.99397,3.16,-2.55,8.1,0,8,1
"288",2,6.6,-0.94,-0.82,67.8,0.176,-142,-5,0.96135,3.28,-0.71,6.5,-1,7,1
"289",3,11.5,0.32,0.5,14.4,-0.551,214,144,0.99666,1.84,0.41,15.4,-1,6,2
"290",4,14.5,-0.83,0.33,6.7,-0.528,45,-202,0.9939,2.8,0.68,11.4,0,8,NA
"291",0,14,0.57,-0.32,3.2,0.267,21,433,0.9973,NA,0.87,9.4,1,9,NA
"292",4,13.8,0.24,1.72,-39.7,0.046,34,-200,0.96632,3.43,NA,15.75,0,8,3
"293",4,5.2,0.22,0.46,8.9,0.446,41,-230,1.00056,2.72,0.42,9.733333333,1,6,2
"294",7,6.2,0.63,3.63,-25.6,0.537,31,470,1.03253,3.41,NA,11.3,1,7,4
"295",0,34.1,1.025,0.43,-22.4,0.405,182,84,0.95691,2.87,0.09,10.1,-1,12,NA
"296",0,5.9,0.2,-1.17,-85.1,-0.076,-257,103,0.99426,3.31,0.57,NA,0,6,NA
"297",0,29.3,0.37,0.26,-50.5,-0.428,37,789,0.99787,3.47,-0.85,2,0,8,1
"298",5,6.8,0.22,-1.38,1.2,0.041,29,-5,0.99104,3.04,0.35,11.2,2,7,3
"299",6,-1.4,1.24,0.17,-10,-0.168,-70,82,0.89242,3,0.38,9.8,2,7,3
"300",4,3.1,0.25,0.53,-15.8,0.021,-337,412,0.989315,3.19,0.31,10.1,0,7,3
"301",3,-2.3,0.19,0.43,10.9,0.408,216,154,1.036,3.52,0.2,16,-1,7,2
"302",5,2.9,-1.23,-0.87,24.9,0.032,151,121,0.96677,3.14,0.38,16.8,0,7,2
"303",4,7.3,0.4,0.24,6.7,0.058,41,333,0.96363,3.2,NA,10.4,0,8,3
"304",3,-2.5,0.2,0.49,1.7,0.626,34,169,1.03491,2.93,NA,7.9,0,9,2
"305",1,7.9,3.68,0.16,-19.4,0.482,8,524,1.03588,4.34,0.47,12.4,-1,7,2
"306",3,1.3,0.22,0.22,16.65,0.044,281,306,0.99855,3.91,NA,5.7,-1,6,2
"307",0,10,1.24,1.14,2.2,-0.607,NA,15,1.03232,4.01,1.89,7.8,-1,11,NA
"308",3,8.9,0.565,0.67,3,0.235,16,112,1.00081,3.55,-0.08,9.1,0,10,2
"309",3,26.5,-0.185,-1.1,36.2,-0.283,20,-219,0.99112,2.66,NA,9.9,-1,6,1
"310",0,4.9,-0.84,0.89,2.2,0.344,272,-266,1.01307,4.37,0.53,10.9,1,9,NA
"311",0,3.7,1.54,1.69,1.4,0.039,53,307,0.99206,3.4,NA,10.1,-1,7,NA
"312",2,7.4,0.03,0.27,17.6,-0.146,21,486,1.01609,3.05,3.98,7.6,-1,8,NA
"313",2,8.4,0.32,0.32,-19,0.336,3,134,0.99439,3.02,0.34,14,-2,9,NA
"314",6,16.3,-0.745,-0.89,-0.2,-0.3,73.5,142,0.9793,3.18,1.37,9.9,1,8,2
"315",4,6.7,1.55,-1.05,9.7,-0.923,216,-180,1.02685,3.23,0.5,7.6,1,8,1
"316",3,12.6,0.28,-0.38,12.8,0.039,51,150,0.99535,3.23,0.46,15.8,-1,7,1
"317",4,6.5,0.14,0.33,-35.2,0.481,-274,189,0.9966,3.25,0.03,11.9,1,7,2
"318",2,18.1,0.345,0.31,1.9,0.453,-191,134,1.04208,2.07,0.38,9.5,-1,8,NA
"319",3,6.8,0.31,2.46,74.1,0.043,30,165,1.01139,3.36,0.13,5.85,-1,7,2
"320",2,6.6,0.785,0.49,7.7,0.049,-299,217,0.996,3.05,-0.99,9.3,-1,7,1
"321",4,7,-0.48,1.66,-43,0.039,70,125,0.95321,3.85,3.8,12.2,0,8,2
"322",3,14.3,0.34,0.46,-0.6,0.055,68,198,0.9988,3.36,-1.09,8.1,-1,10,2
"323",3,6.6,0.19,0.28,-22.9,0.042,-11,137,0.98397,2.7,0.37,10.8,-1,7,NA
"324",5,6.3,-0.97,1.76,-17.9,NA,184,134,1.03199,4.69,NA,12.7,1,7,1
"325",3,6.4,-2.3,0.19,25.4,0.577,NA,NA,1.02127,2.84,-0.42,9.4,0,8,2
"326",6,7.6,0.23,-0.65,10,0.036,247,-185,0.9967,3.08,0.58,9.7,2,8,2
"327",6,6.4,0.38,-0.72,4.5,0.038,-180,119,0.99151,3.07,1.41,7.7,2,7,3
"328",3,5,-0.83,0.19,5,0.054,17,101,0.99438,3.7,2.22,10,0,5,2
"329",4,8.2,0.37,0.23,1.7,0.496,20,-553,0.9923,1.4,0.48,NA,1,9,2
"330",7,7,0.17,1.65,-46.7,0.683,340,327,0.97058,2.66,2.23,NA,1,8,4
"331",7,6.7,-0.23,-0.14,2.4,0.291,30,292,0.98006,3.09,0.88,8,2,7,4
"332",3,10.7,-1.11,-0.31,-112.2,NA,17,-148,0.9936,2.07,0.55,8.5,-1,7,3
"333",5,7.1,0.38,-0.32,7.2,NA,32,111,0.96714,1.78,3.88,10,1,8,NA
"334",5,7.3,0.34,-0.15,14.1,0.04,130,32,0.99655,3.74,1.08,12.4,1,8,NA
"335",4,7.4,0.26,0.36,30.5,0.032,29,193,0.99134,3.1,NA,5.6,0,8,2
"336",6,-2.8,0.28,0.28,4.3,NA,125,417,0.9837,2.71,3.93,9.4,0,7,2
"337",3,17.7,0.26,0.3,1,0.421,167,114,0.9928,2.33,-0.37,7.4,0,6,NA
"338",5,6.6,1.15,-0.66,NA,0.467,111,211,0.9962,3.09,0.42,8.9,1,7,3
"339",4,11.3,0.32,1.29,29.05,0.026,-108,79,0.99168,3.18,1.34,25.4,0,6,2
"340",3,14.5,0.59,-0.16,1,-0.558,6,24,0.9926,NA,-0.06,12.1,0,10,NA
"341",6,7.4,0.28,0.3,22.7,-0.11,44,-96,1.01381,3.17,-0.71,14.2,2,8,4
"342",3,14.2,0.23,0.61,19.6,NA,-52,152,1.01371,2.89,0.52,8.7,-1,7,1
"343",0,13,-0.92,0.25,2.6,0.174,10,NA,0.98871,3.46,-0.46,14,0,8,1
"344",4,5.8,0.24,0.28,-29,0.038,-98,-78,1.02018,3.1,3.23,9.2,-1,6,1
"345",6,-1.1,0.2,1.28,-12.4,0.056,-63,212.5,0.95946,2.32,-2.95,8.9,0,8,3
"346",4,5.1,-1.17,0.18,-26.8,NA,13,-216,1.04001,3.22,NA,7.7,1,6,2
"347",4,6.8,1.22,0.54,18.2,0.154,156,5,0.9955,4.47,1.16,10.3,0,7,1
"348",3,6.4,0.79,1.15,-32.95,NA,56,NA,0.99684,4.35,0.38,10.6,0,7,2
"349",4,7.1,0.25,1.33,28.1,0.043,53,904,0.99524,4.54,0.28,16.5,0,7,3
"350",3,8.9,1.89,0.3,8.1,0.026,14,71,0.97429,3.84,0.1,0.6,0,10,3
"351",5,7.1,0.26,-2.38,23.1,0.622,39,-306,0.98726,3.31,0.31,11.6,1,8,3
"352",4,1.6,1.68,0.31,2.8,-0.995,40,-199,0.99126,3.06,1.36,10.9,-1,7,3
"353",2,14.6,0.35,-2.27,6.2,NA,289,511,0.9968,5.87,0.6,1.1,-1,7,1
"354",4,7.7,-0.74,1.66,14.3,0.436,506,213,0.9991,3.7,-2.86,9.2,1,8,1
"355",4,6.7,0.48,0.32,-20.1,-0.221,301,54,0.98481,2.89,0.35,17.5,0,7,2
"356",0,8.4,0.19,0.98,1.6,0.047,9,101,0.994,3.11,1.84,7.1,0,9,NA
"357",3,-0.1,0.28,0.65,-11.1,-0.52,38,140,0.96112,3.3,-0.48,5.2,-1,8,1
"358",4,5.5,-0.83,0.3,7.8,0.049,-115,468,1.03094,4.04,0.58,13.4,0,9,NA
"359",4,-0.4,0.37,-1.55,1.8,0.755,-29,89,1.0307,3.43,1.29,14.25,0,7,2
"360",3,7.8,0.26,0.34,2.2,0.05,29,131,0.9929,1.91,0.6,9.8,-1,7,2
"361",4,12.1,0.57,-0.74,2.7,0.034,238,411,0.98135,3.9,1.34,12.8,-1,9,1
"362",2,17.8,0.485,0.29,-20.7,0.526,NA,101,1.02615,3.01,0.38,12.4,-1,9,1
"363",3,26.5,0.57,0.83,13.1,0.05,26,60,0.99884,3.05,2.01,12.5,-1,8,2
"364",5,3.4,-0.71,1.56,45.4,0.05,65,498,1.00666,3.11,0.58,10.2,1,7,2
"365",5,-1.1,-0.37,0.36,18.1,0.047,266,-162,0.99315,4.43,NA,10,1,9,2
"366",5,14,0.17,3.63,NA,-0.141,293,382,0.95447,3.68,1.65,11.4,1,8,3
"367",0,6.9,0.1,0.22,44.7,-0.226,25,339,0.94868,3.13,-1.1,11.3,0,13,NA
"368",3,6.1,1.64,0.34,1.1,-0.549,-120,110,0.9898,4.58,NA,14.1,-1,7,1
"369",6,7,1.62,0.8,126.1,NA,-222,42,0.9935,3.52,0.33,11.6,0,8,2
"370",0,9.4,0.26,0.48,-7.1,0.066,6,-212,0.9587,3.15,0.87,NA,-1,11,NA
"371",0,6.5,0.11,-0.34,42.5,-0.334,22,445,0.9996,3.46,0.89,11.2,0,11,NA
"372",6,12.5,0.12,0.25,50.5,0.018,NA,-186,1.01807,3.2,0.45,5.7,1,7,3
"373",5,17.6,0.7,0.07,-60,0.033,-247,26,0.97805,2.6,2.34,4.7,0,9,2
"374",4,19.2,1.06,1.95,-20.9,0.296,33,87,0.993,3.22,1.08,10.8,0,8,NA
"375",3,8.7,0.27,2.61,99.4,0.053,32,-95,0.95748,3.36,0.37,10.4,-1,6,2
"376",4,8.6,0.335,0.14,1.3,0.036,69,-58,0.99212,3.47,0.46,10.5,1,5,2
"377",4,6.7,1.66,0.44,18.75,0.057,-34,224,1.02468,3.11,0.65,15,1,7,2
"378",4,8.2,-1.01,0.29,1.8,0.047,47,187,0.9933,3.09,NA,10.2,0,9,2
"379",4,8.7,0.32,0.28,32.2,0.039,167,94,0.98387,2.04,0.57,18.5,-1,7,1
"380",5,5.8,0.28,0.34,-7,0.031,-1,392,0.9896,NA,-1.28,12.8,0,6,3
"381",4,6.4,0.34,1.78,-56,-0.135,NA,-88,1.04393,4.05,NA,NA,0,7,3
"382",6,-2.3,0.15,0.36,29.7,0.028,-119,104,0.94254,4.03,3.91,5.9,0,8,2
"383",4,-2.2,0.25,0.12,9.2,0.324,104,150,0.95451,2.28,0.87,11.5,0,8,2
"384",3,16.7,1.44,0.22,-8.1,0.65,-1,647,0.95635,2.97,0.45,13.1,-2,8,1
"385",3,12.7,0.25,-0.13,-19.8,0.047,61,250,1.01767,3.74,NA,9.2,0,7,1
"386",0,6,1.11,0,2.1,0.064,-100,419,0.995,1.02,1.03,10.7,-1,7,NA
"387",2,7.3,0.15,0.14,49.2,0.05,NA,195,1.00157,3.7,0.45,10.5,-1,8,1
"388",4,11.1,0.5,-2.85,11.1,0.174,45,491,1.00901,4.04,3.76,12.3,1,6,2
"389",2,7.9,0.86,1.7,-55.8,0.209,150,866,0.99176,3.05,0.52,10.9,-1,9,NA
"390",2,18.9,0.275,1.87,1,0.039,83,-558,0.992,0.68,0.56,11.9,-1,8,2
"391",0,9.9,0.4,0.53,6.7,-0.419,-231,19,0.95436,2.88,0.82,11.7,0,11,NA
"392",5,6.8,0.19,0.33,4.9,-0.226,42,130,1.01386,4.2,0.56,16.1,1,7,2
"393",4,8.9,0.23,0.32,1.6,-0.359,-121,122,0.9904,3.71,-0.31,12.5,0,7,2
"394",4,6.4,-0.26,-0.98,42.3,NA,183,-203,0.99556,3.7,NA,5.4,1,7,2
"395",0,7.7,0.57,-1.34,1.5,0.069,-265,NA,1.0036,3.16,NA,8.8,0,8,NA
"396",0,6.9,0.41,0.33,2.2,NA,22,-232,0.96928,3.41,0.29,14.9,-1,8,1
"397",1,8.1,0.87,0,3.3,0.096,-162,-281,1.07189,2.48,0.05,9.8,-1,9,NA
"398",4,15.6,0.24,0.27,43.1,0.04,48,129,0.99691,4.39,NA,NA,0,7,3
"399",4,6.9,0.615,0.42,-86.6,0.067,-206,131,0.97415,4.11,1.43,9.3,1,8,NA
"400",4,8.3,0.25,1.69,2.5,0.053,-246,NA,0.99404,2.89,0.62,9.5,1,9,2
"401",3,0.6,-0.39,0.29,4.2,0.02,-98,-262,1.00282,3.24,1.67,NA,-1,9,NA
"402",2,6.8,-0.19,0.4,24,-0.384,-34,177,0.9928,3.04,3.41,11.6,-2,8,1
"403",2,12.8,0.32,0.13,16,0.148,113,185,0.97778,3.34,0.6,14.1,-2,7,2
"404",3,6.2,0.08,0.38,-35.5,0.045,54,5,1.00086,3.17,0.46,3.9,0,7,1
"405",4,4.2,-1.7,1.53,-30,-0.079,98,301,1.00508,2.15,0.56,8.1,0,9,2
"406",0,2.6,0.83,0.37,7,0.55,111,70,0.9981,3.16,0.52,7.5,0,12,NA
"407",0,9.9,1.58,1.57,14,0.58,-67,156,0.9958,4.19,0.38,16.9,2,9,NA
"408",0,7,1.03,0.22,62.4,0.018,284,210,0.99575,3.34,0.84,3.3,0,9,NA
"409",6,7.1,0.13,1.3,1.2,-0.269,54,510,0.9932,3.3,2.47,12.6,1,8,2
"410",3,6,-0.95,0.33,4.35,0.04,-197,-203,0.99276,2.28,1.54,8.8,-1,7,2
"411",5,7.3,-0.63,0.37,1.9,0.041,88,165,0.9908,3.26,0.4,17.7,-1,8,1
"412",3,0,0.28,0.9,2.5,0.042,59,172.5,0.95751,4.55,0.27,3.4,0,7,NA
"413",3,-1.2,0.24,0.54,-33,0.083,-179,57,0.9983,3.39,1.94,15.5,0,10,3
"414",0,2.9,0.89,1.43,0.7,0.04,98,25,0.9918,2.3,-0.85,9.6,0,9,1
"415",5,1,1.42,-1.44,6.5,-0.51,26,97,0.99148,2.26,-0.71,12.6,0,8,3
"416",6,7,2.17,0.28,-18.2,0.045,37,221,1.06266,3.25,0.54,10.4,2,7,3
"417",2,11.7,2.56,0.45,68.8,-0.116,NA,181,0.98102,2.3,1.58,9.1,-1,7,1
"418",2,2.6,-0.13,0.23,1.5,-0.195,NA,174,0.94277,2.96,0.35,12,-1,6,1
"419",0,3.3,1.4,0.47,1.1,-0.161,11,499,0.91223,3.21,NA,10.9,-2,9,NA
"420",4,10.5,1.18,0.28,-2,-0.199,256,132,1.01042,4.12,-0.6,11.3,0,8,3
"421",5,0.9,0.16,-0.12,-20.1,NA,25,372,0.98405,5.49,-0.44,15,1,8,3
"422",3,7.1,0.97,0.3,NA,-0.173,-213,70,0.99693,3.73,0.5,9.4,0,8,2
"423",4,6.1,0.16,0.37,1.1,0.031,-4,121,1.00222,2.8,-2.92,11.7,0,7,3
"424",0,7.2,0.21,0.37,52.1,0.449,46,470,0.98604,2.95,0.43,11.1,-1,8,NA
"425",3,15.4,-1.2,-0.31,13.7,0.044,66,184,0.94923,3.22,-0.45,8.9,0,8,NA
