"","TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS"
"426",6,5.5,-0.54,-2.69,55.25,-0.216,149,189,0.99784,3,0.6,11.9,2,8,3
"427",4,-1.5,0.15,0.38,13.7,-0.183,20,84,0.99046,3.09,-0.28,12.3,0,7,3
"428",0,7.5,-0.66,0.46,1.6,0.035,-84,126,0.9933,3.26,2.02,10.2,1,8,1
"429",5,2.7,1.44,1.35,2.8,-0.303,-12,28,0.9964,3.33,2.04,15.3,0,9,3
"430",4,6.6,1.15,0.51,-15.4,0.174,61,37,0.99604,2.03,-0.43,9.2,1,7,2
"431",4,6.9,1.19,0.77,45.3,0.116,113,340,0.99531,3.47,0.24,9.5,0,8,1
"432",4,10.2,-0.66,0.35,11.6,NA,57,295,0.99775,3.95,1.56,9.3,1,8,3
"433",6,6.1,0.16,3.32,6.1,0.034,46,114,0.99365,3.32,0.58,10.15,1,7,3
"434",3,-2.6,0.57,0.23,7.3,0.227,NA,157,1.00011,4.21,0.53,9.1,0,7,NA
"435",0,0,0.035,0.15,12.4,0.178,11,98,0.999,3.27,1.14,11.4,0,10,NA
"436",3,-2.5,0.24,1.01,10.1,0.05,230,105,0.95044,3.13,0.35,9.5,0,8,1
"437",0,15.5,0.23,-0.07,-7.1,0.039,-131,370,0.94943,2.72,-0.67,8.8,1,7,NA
"438",3,29.1,0.19,0.44,17.5,NA,-236,417,0.97191,2.45,0.62,9.5,-1,8,2
"439",4,7.3,-0.84,-0.29,81,-0.055,4,-96,0.9984,2.2,0.45,12.4,0,8,2
"440",0,8.6,0.16,0.38,34.1,0.219,-265,-99,1.01237,3.19,-1.04,13,-1,9,NA
"441",5,7.4,-0.615,-0.61,12.2,0.318,NA,506,0.9973,3.18,0.37,15.5,1,8,1
"442",0,-4,0.63,-2.4,7.8,0.033,49,-246,1.01494,3.21,0.4,10.7,0,8,1
"443",0,-0.3,0.26,0.58,5,0.361,52,107,0.94215,3.24,1.33,15,0,8,2
"444",2,2.9,0.28,1.7,7.1,0.291,49,302,0.99528,3.37,0.48,9.2,-1,7,1
"445",1,15.6,1.58,-0.38,-53.2,-0.528,-235,9,1.02555,3.5,2.15,11,-1,9,NA
"446",3,6.2,1.41,0.13,3.2,0.031,NA,89,0.98956,3.38,NA,12,-2,7,3
"447",5,6.6,0.23,-2.05,72.8,0.581,93,-297,1.01605,3.3,0.54,5.9,1,7,NA
"448",5,-0.3,0.745,-0.76,-41.6,0.044,22,-43,0.99014,2.53,0.6,11.7,0,7,NA
"449",0,6.3,-0.32,-0.75,-24.3,0.131,14,132,0.94422,3.3,0.49,9.5,1,7,NA
"450",3,17.4,0.75,0.65,-35.9,-0.288,215,140,0.99708,4.04,0.4,8.4,0,7,2
"451",3,6.5,0.3,1.78,NA,0.041,NA,109,1.00722,2.98,-0.6,8.5,-1,7,1
"452",0,4.9,0.61,1.72,-45.5,0.075,6,-254,0.89604,2.9,1.06,11,2,11,NA
"453",3,2,0.675,0.36,2.1,0.348,-64,43,0.9976,3.31,0.87,6.8,1,9,1
"454",0,9,0.6,0.29,2,0.411,32,-112,1.0292,3.34,0.17,10,-1,10,2
"455",0,-2.1,0.6,0.25,2.6,0.592,9,396,1.03564,2.86,1.39,9.8,0,9,NA
"456",3,16.6,0.33,0.41,-62,0.054,-204,117,0.9943,2.71,1.18,14.4,0,7,1
"457",4,4.1,1.17,0.36,1.1,0.507,67,-67,0.9893,2.77,-0.6,12.4,-1,8,3
"458",3,5.3,0.165,-0.19,1.1,0.051,94,105,0.89462,3.04,0.47,9.8,0,6,NA
"459",4,1.2,-0.33,-0.33,1.9,0.038,40,-136,0.99074,3.32,-0.44,6.5,-1,7,3
"460",4,6.7,0.37,0.93,2.5,0.028,24,84,0.96536,2.84,0.36,13.2,0,7,3
"461",5,17.1,0.36,0.04,-46,0.118,-137,52,0.94681,3.98,1.84,9.4,2,10,1
"462",5,6.8,0.13,-2.56,53.8,-0.116,19,102,0.99121,3.23,0.6,18.1,0,7,3
"463",0,-1.2,1.05,0.28,1.3,1.115,77,187,0.95064,3.27,0.6,10.3,1,8,NA
"464",0,12.9,0.65,-0.52,37.4,0.088,27,234,0.98877,2.99,NA,4.1,0,8,NA
"465",5,-1.5,1.08,-1.33,-16.8,0.336,26,-64,0.96895,3.23,0.48,16.4,0,8,3
"466",0,8.3,-0.48,0.39,-101.6,-1.09,206,313,0.98806,3.28,0.59,11.6,0,9,NA
"467",3,7.6,-1.05,0.34,-89.8,-0.522,42,162,1.008,3.01,0.93,12,-1,8,2
"468",3,7,-0.07,0.2,48.8,-0.131,50,NA,1.02252,3.08,0.56,9.4,0,8,2
"469",4,4.7,-0.24,0.25,63.1,0.036,21,124,1.00666,2.25,0.38,16.1,0,7,NA
"470",6,6.4,0.31,0.28,1.5,0.037,254,-253,0.94175,4.03,0.51,7,1,7,4
"471",3,12.5,0.38,1.37,NA,-0.256,7,25,0.99929,3.24,0.76,13.6,-1,13,2
"472",5,10.1,0.56,-0.97,-33.1,NA,6,326,0.99643,3.22,0.65,11.6,0,11,2
"473",3,7.1,-2.35,-0.7,-9.1,0.151,NA,NA,0.95518,3.33,0.6,9.2,-1,8,1
"474",0,-0.6,1.47,0.29,55.5,-0.31,NA,331,0.99502,NA,0.62,11.5,0,8,NA
"475",0,6.1,1.06,0.29,29.8,NA,5,-156,1.00017,3.36,-2.14,5.4,1,7,NA
"476",7,6.8,0.37,-0.63,4,-0.16,NA,45,0.99941,2.25,-0.85,12.4,2,7,3
"477",0,7.7,1.13,0.27,8.8,0.063,39,NA,0.9969,3.09,1.98,8.1,-1,8,NA
"478",5,19.1,0.475,0.22,-51.5,0.025,157,140,0.9929,3.39,0.54,6.4,1,7,1
"479",5,-1.9,0.12,0.65,1.2,-0.019,43,160,0.9934,3.13,-0.97,4.8,1,9,2
"480",6,9.4,1.61,0.52,10.6,-0.292,73,366,0.9973,3.92,0.92,12.2,1,10,3
"481",3,7.3,0.62,0.35,1.5,NA,-213,108,0.97232,2.05,0.51,10.2,-1,8,NA
"482",2,7,0.36,0.13,-36.3,0.027,34,NA,1.00692,3.04,0.37,10.1,-1,9,1
"483",0,0.1,0.6,0,1.8,0.074,16,34,0.98523,5.59,0.7,9.9,-1,8,1
"484",3,2.3,-0.63,3.34,10.1,0.168,225,-19,0.97405,3.25,0.62,13.6,0,9,2
"485",4,29.1,0.24,-1.95,12.75,-0.266,8,74,0.99386,4.3,3.92,12.9,0,7,3
"486",2,6.6,0.26,0.56,40.1,0.764,32,141,1.04041,1.51,-0.12,13.5,-1,7,NA
"487",6,7.8,1.63,0.26,9.5,0.059,32,-163,0.9955,3.36,NA,14.8,2,8,3
"488",5,6.8,0.28,0.37,7,0.057,307,208,0.9973,3.57,0.55,7.8,2,7,4
"489",2,9,0.43,0.3,59,-0.552,155,NA,0.97684,3.11,1.05,5.7,0,10,NA
"490",5,-4.7,0.37,0.23,42,0.057,54,166,0.99568,4.09,1.12,1.8,2,8,4
"491",4,-4.3,0.43,-0.35,2.1,0.027,19,-252,0.9883,3.01,1.57,5.6,1,8,1
"492",3,1.9,0.26,-0.91,59.2,0.355,-206,230,0.9974,3.6,1.78,8.9,0,7,NA
"493",2,6.5,0.25,-0.38,33.5,0.524,104,184,0.99572,3.17,0.45,11.9,-1,7,2
"494",4,7.3,0.2,0.55,65.2,0.2,-218,87,0.99044,2.94,1.86,12.2,0,8,1
"495",0,13.9,0.28,-0.22,2.3,0.664,-102,85,0.9997,2.5,3.09,9.3,1,13,NA
"496",0,12.2,1.8,0.45,-7.7,0.374,-6,160,0.9952,3.77,3.44,9.6,1,7,1
"497",7,5,0.17,0.56,1.5,0.026,-18,115,1.00233,3.48,1.02,11.8,2,6,NA
"498",5,-4.6,1.52,1.33,-3.2,0.498,23,109,0.99018,NA,3.17,12.8,-1,7,3
"499",4,7.2,0.28,0.26,12.5,0.232,-61,179,0.9975,3.1,-0.26,9,0,8,NA
"500",5,7.2,0.23,-1.08,14.2,0.136,49,215,1.06514,3.53,0.48,10.5,0,8,3
"501",3,9.9,0.49,-0.96,-26.5,-0.478,19,519,0.9948,2.53,0.44,NA,-1,11,NA
"502",2,5.8,0.33,0.33,5,0.41,185,265,0.99399,3.13,1.53,9,-1,6,2
"503",2,0.2,0.09,0.17,2.8,0.04,65,125,1.00688,2.55,2.15,8.5,-1,7,1
"504",0,6.4,-0.75,-0.5,9.65,0.041,36,119,0.99334,2.97,0.67,10.93333333,1,7,NA
"505",4,-4.4,0.2,0.86,-50,-0.047,-377,177,1.02959,3.41,0.47,8.8,0,6,1
"506",3,16.6,1.215,0,1.4,1.105,11,-148,0.93391,3.79,NA,12.2,0,5,3
"507",0,5.6,1.73,-0.87,6.9,-0.054,23,NA,1.02166,3.25,0.49,8.1,-1,6,NA
"508",4,7.6,0.28,0.39,1.2,0.038,192,115,0.98376,2.56,-0.83,10.5,0,8,2
"509",4,-3.3,0.26,0.27,11.8,0.31,-134,286,0.99628,2.87,0.76,9.7,0,7,3
"510",3,5.7,0.75,0.15,1.9,-0.003,124,36,0.94617,3.38,0.54,14.1,0,6,3
"511",0,8.6,0.01,0.65,-50,0.08,3,8,1.02295,3.36,-0.5,13.8,1,10,NA
"512",0,6.7,0.58,0.02,20.4,-0.799,-109,NA,1.04571,3.39,1.68,13.1,0,7,NA
"513",5,0,0.27,0.74,13.4,-0.302,-21,121,0.97402,3.04,1.65,5.8,1,8,3
"514",6,2.5,0.39,0.24,6.3,0.037,45,913,1.02743,2.58,0.43,10.2,1,7,2
"515",3,-3.6,0.16,0.36,5.9,0.835,25,-168,1.03316,3.39,0.34,10.2,-1,8,2
"516",0,8.4,0.31,3.4,-50.45,0.021,52,443,1.02707,2.93,-0.32,11.5,0,9,1
"517",5,-3.4,1.09,0.53,1.4,-0.384,26,175,1.03875,3.17,1.87,12,0,7,1
"518",4,6.3,0.99,1.31,9.7,0.045,50,136,1.01145,3.14,0.37,10.6,0,7,1
"519",3,16.1,0.31,-1.29,-16.8,0.038,18,123,0.98338,3.36,2.07,8.6,-1,7,2
"520",2,18.2,0.85,0.5,1.1,0.042,35,NA,0.94805,1.91,-1.36,8.6,-1,8,1
"521",0,0.4,0.68,1.35,1.75,-0.205,-222,387,1.01879,4.59,NA,11.7,1,8,NA
"522",4,8.8,-0.75,0.64,2.2,0.093,9,42,1.02734,4.44,-0.8,6.4,1,10,NA
"523",3,14.3,0.205,0.3,60.5,-0.059,34,110,0.9963,3.72,-0.44,4.9,-1,8,NA
"524",4,6.8,0.3,0.26,96.9,0.037,-139,150,0.99727,2.8,-1.54,12.3,0,7,4
"525",0,11.8,0.84,0.25,52.3,0.074,3,-245,0.99649,3.13,0.63,10.4,0,13,NA
"526",5,6.3,0.55,0.45,68.2,0.442,33,416,1.01855,3.2,NA,8.9,1,7,2
"527",4,7.7,-0.09,0.24,1.8,0.051,124,67,0.9928,3.23,-0.19,10.8,0,8,NA
"528",4,6.9,1.45,0.54,10.6,0.105,24,-104,0.99265,3.15,1.6,10.8,0,8,1
"529",6,11.9,-2.07,-0.11,39,0.028,53,NA,0.96472,3.14,0.84,10.3,1,9,3
"530",2,6.4,-1.93,1.58,63.5,0.093,506,NA,0.96516,3.15,0.29,9.2,-1,7,2
"531",2,10.3,0.29,2.09,14.95,0.067,252,178,0.99838,3.04,0.08,10.6,0,8,1
"532",3,15.3,1.715,-1.11,1.8,0.114,266,64,1.0279,3.22,-0.57,11,-1,8,1
"533",3,4.1,0.44,0.27,8.4,0.057,60,-250,0.99257,3.16,0.36,18,-1,8,NA
"534",0,12,0.51,0.24,2.6,0.087,12,-206,0.9998,NA,-0.14,9.8,-1,10,NA
"535",3,2.7,0.11,1.97,1.6,0.612,503,90,0.99008,2.49,0.52,12.2,-1,6,2
"536",3,-1.6,0.3,-1.78,11,0.042,36,318,0.96052,3.15,-0.97,7.4,0,6,1
"537",1,-2.7,0.19,0.24,-26,-0.474,3,-197,0.99362,3.24,-0.57,6.7,-2,6,1
"538",3,7.2,1.63,0.28,-19.3,0.046,6,41,0.99665,3.17,1.76,10.9,-1,8,1
"539",4,10.9,-0.85,0.3,60.6,-0.346,13,128,0.94382,3.19,0.49,9.7,1,8,1
"540",3,6.6,0.22,0.28,12.05,0.261,210,276,1.01867,4.68,0.45,6,0,7,1
"541",5,7.2,0.36,1.54,5.7,0.038,26,-151,1.00143,2.98,0.44,26.1,0,8,2
"542",1,6.1,0.22,0.26,1.2,-0.106,-288,-203,0.99104,3.71,0.35,7.4,-2,7,NA
"543",0,-10.7,0.41,0.19,1.7,-0.426,18,69,0.9973,2.63,1.31,3.5,0,9,NA
"544",4,6.7,0.65,0.49,4.7,0.034,-65,407,1.0227,4.23,-0.85,16.3,0,7,1
"545",5,13.9,-0.49,0.45,19.5,-0.177,-18,497,0.94986,3.62,1.93,10.6,1,8,3
"546",2,6.1,-0.9,-1.33,57.6,0.072,53,100,1.04706,2.58,1.76,10.9,-1,7,2
"547",0,-0.1,-0.98,0.5,-6.6,0.664,6,-209,0.99643,3.22,-0.62,11.6,-1,11,NA
"548",0,4.8,0.66,0.68,-53,-0.281,6,24,0.98202,3.06,1.03,13.4,0,12,NA
"549",3,6.1,1.15,-2.17,2,0.038,204,NA,0.9923,3.37,-0.55,11.3,-1,7,1
"550",4,9.4,0.58,1,11.8,0.463,364,274,0.98,2.55,0.63,9.6,1,8,2
"551",3,6.9,0.76,0.28,-13.4,0.056,29,183,0.97107,3.17,-0.74,5.3,0,8,2
"552",5,2.8,-0.28,0.49,11.8,0.038,27,99,1.01855,2.38,NA,10.6,1,8,2
"553",4,6.6,0.31,-1.18,71.3,0.407,328,164,0.97711,3.13,0.39,14.5,2,7,2
"554",4,12.4,0.32,1.56,30.6,-0.225,-256,74,1.0525,3.27,0.66,5.3,0,9,1
"555",4,0.8,0.36,0.59,5.6,0.152,60,-54,0.97085,3.04,1.05,9.4,1,12,1
"556",6,17.4,0.16,1.36,1.1,0.423,27,345,0.98884,3.23,0.8,13.2,0,7,4
"557",0,7.3,0.22,0.5,13.7,-0.188,-18,123,0.9994,3.24,2.28,NA,-2,8,NA
"558",4,7.4,0.25,1.24,-10.2,0.039,22,64,1.01539,1.14,0.49,10.7,1,9,2
"559",0,5.7,1.15,0.24,68.3,0.047,57,112,0.99837,3.61,2.27,NA,0,6,NA
"560",0,10.7,0.31,-0.94,6.6,0.026,23,99,1.00289,3.22,1.88,12.2,1,12,NA
"561",5,12.8,1.35,0.3,31.6,0.037,NA,169,0.99601,3.25,0.37,10.4,1,8,4
"562",0,7.8,-0.54,-0.87,3.4,-0.496,122,-91,0.98959,5.38,0.47,13,0,8,NA
"563",4,-1.9,0.24,1.39,45.4,0.044,-208,939,0.9982,2.66,NA,9.6,-1,8,1
"564",0,13,-0.17,2.71,6.8,0.163,NA,568,0.95261,2.28,0.56,10.3,-2,7,1
"565",0,18.2,0.34,0.28,NA,-0.095,36,100,0.99064,3.26,0.39,14.5,0,7,1
"566",0,15.8,0.32,1.46,9.1,-0.145,46,-438,1.00793,3.94,0.57,13,-1,6,1
"567",4,6,1.45,-0.75,6.3,0.245,179,-440,0.94783,2.28,0.41,15.1,1,7,2
"568",4,6.8,1.58,0.15,-40.8,-0.541,62,178,1.01618,3.19,-0.33,8.8,1,8,1
"569",0,6.2,1.55,1.31,9.1,-0.133,-255,78,1.01706,3.06,1.81,13.8,1,7,NA
"570",0,10.2,-0.275,0.36,NA,0.251,152,14,0.96782,2.06,-0.99,10,0,11,1
"571",0,9.5,0.475,0.49,1,0.58,292,131,0.98144,3.35,0.97,10.8,0,7,1
"572",2,4.5,0.2,0.49,1.6,0.076,224,143,0.9937,2.39,NA,9.2,-2,7,1
"573",2,18.7,0.29,1.71,-4.05,0.382,4,-205,0.96659,1.97,0.32,11.4,0,9,NA
"574",4,11.7,0.17,0.36,4.5,0.493,-90,-144,0.99427,1.83,0.47,12.4,1,8,2
"575",4,7.9,0.19,0.45,1.5,0.644,NA,96,0.9917,NA,0.39,12.8,0,9,2
"576",2,6.1,0.17,0.4,9.1,0.326,83,606,1.01775,2.1,0.5,6.1,-1,7,1
"577",3,27.4,0.15,0.55,5.9,-0.134,75,202,1.03028,3.15,2.49,9.3,0,7,NA
"578",2,9.7,0.48,-1,0.9,0.384,-90,99,0.99226,3.14,-0.23,NA,0,7,NA
"579",4,15.2,1.14,0.72,1.6,0.043,NA,87,0.9911,4,0.48,11.9,0,9,3
"580",4,5,1.535,0.07,7.1,NA,34,557,0.9945,4.29,0.57,10.2,0,6,2
"581",0,13.4,-0.425,0.11,1.9,0.308,16,867,1.03769,3.19,-0.3,12.1,1,9,NA
"582",0,2.3,1.66,1.67,2.1,0.062,-369,14,1.00734,3.44,-0.73,10.6,0,11,NA
"583",5,17.2,-0.99,-0.75,NA,-0.444,24,295,0.95363,3.11,2.69,11.2,0,7,2
"584",5,4.3,0.29,-0.02,4.7,0.059,-332,81,0.99036,2.02,0.56,12.7,-1,7,2
"585",3,9.6,-0.99,0.46,1.45,0.039,77.5,NA,0.9944,1.69,NA,9.5,-1,10,1
"586",5,16.2,1,1.62,8.2,0.619,37,260,0.96443,2.87,2.32,11.6,1,11,3
"587",0,0.4,0.805,1.28,2.5,0.068,7,-141,0.95542,NA,NA,9.8,1,8,NA
"588",3,11.7,1.32,0.38,-61.5,0.028,-267,-127,0.993,2.79,0.54,5.3,-1,7,NA
"589",4,8.5,1.02,0.04,62.5,0.144,38,218,1.02543,3.53,1.61,10.2,0,5,3
"590",0,1.5,0.54,0.26,74.6,-0.209,280,332,0.9526,2.31,0.54,10.5,0,8,NA
"591",0,7,0.6,0.9,2.2,0.177,13,28,1.00287,3.46,NA,10.2,0,8,NA
"592",5,6.1,0.28,0.22,118.9,0.034,265,116,0.96512,3.36,NA,6.3,1,7,2
"593",3,6.5,-0.06,-0.4,-15.8,0.03,-83,NA,1.02462,4.09,0.36,15.4,0,7,NA
"594",3,7.9,1.36,0.23,1.8,-0.508,23,49,0.99057,4.01,-0.55,9.3,0,9,2
"595",4,13.9,0.32,1.37,11.8,-0.079,-419,539,0.99794,3.05,0.54,4.4,1,9,3
"596",3,8.1,0.56,0.33,-56.1,0.423,141,199,0.9944,3.8,0.72,6.5,-1,10,NA
"597",3,6.9,-0.52,1.02,9.4,-0.544,29,475,0.99594,3.69,1.18,9.4,0,8,2
"598",4,6.4,0.15,1.37,-43.3,0.044,45,61,0.99454,3.91,0.72,9.9,0,7,2
"599",0,4.2,0.215,0.23,5.1,0.041,-107,157,0.99688,3.42,1.13,8,0,5,1
"600",6,10.7,-0.54,0.37,28.6,0.127,59,566,1.04265,3.63,0.29,13.2,1,7,4
"601",0,16.6,1.07,-0.24,3.8,NA,218,-60,0.99664,4.85,-2.66,9.3,0,9,NA
"602",4,2.8,1.22,-1.11,4.1,0.154,73.5,-179.5,0.98544,2.51,0.38,9.8,0,6,2
"603",4,6.5,-2.52,-0.22,121.2,0.059,33,101,1.04196,3.12,-0.74,4.6,0,7,3
"604",3,6.3,0.91,2.87,7.05,-0.081,50,177,0.99564,2.66,0.42,11.7,0,7,1
"605",2,17.9,1.03,1.19,4.8,0.052,49,142,0.9946,3.94,0.62,9.2,-1,7,NA
"606",0,7.7,0.665,0,-8.5,0.09,8,-368,1.00739,3.27,1.37,15.6,0,8,1
"607",3,7.2,0.17,0.62,11,0.468,NA,-118,0.9976,3.33,0.5,8.7,0,8,NA
"608",0,4.9,0.615,0,44.4,0.089,16,NA,0.9943,NA,0.52,12.9,-2,6,NA
"609",0,14.7,0.32,0.31,6.4,-0.353,38,115,0.94865,3.38,1.12,12.2,1,8,NA
"610",5,2.8,-0.08,0.12,8,0.384,262,213,1.01525,3.28,0.36,5.5,1,8,2
"611",2,5.9,0.17,-0.39,14.55,-0.262,-181,156,1.00356,3.34,NA,9.1,-2,8,NA
"612",0,-1.9,-1.12,1.77,-9.6,NA,-122,128,0.94543,3.13,-0.97,10.2,-1,8,1
"613",5,6.3,0.28,0.3,6.6,0.208,246,86,0.99253,3.1,1.38,16.2,1,7,3
"614",5,4,0.26,-0.82,3.1,-0.357,37,821,0.98944,3.29,2.34,14.3,0,7,3
"615",3,1.1,0.26,-1.38,60.2,NA,-123,152,0.98103,3.31,-1.08,9.4,0,6,2
"616",3,5.6,-0.97,1.34,9.9,0.15,108,459,0.95537,3.19,NA,9.8,0,7,1
"617",3,2.6,-0.11,-0.45,NA,0.17,28,-211,0.99226,3.15,0.52,10.8,0,8,2
"618",0,1.4,0.16,0.24,1.4,0.046,-103,77,1.03592,3.98,NA,10.3,-1,7,NA
"619",4,2.9,-0.89,-0.67,40.4,0.032,62,-301,1.02941,3.98,0,11.4,-1,7,3
"620",1,10.2,-0.29,0.09,10.6,0.244,-18,-347,0.9983,2.87,0.74,9.1,0,9,NA
"621",5,26.2,0.2,0.4,1.5,0.037,238,107,0.98913,3.46,0.5,11.4,1,7,3
"622",2,7.2,0.29,0.18,8.2,0.042,41,566,0.99644,2.89,0.65,9.1,-1,8,2
"623",4,7.3,0.65,0.49,-50.1,0.316,32,197,0.9936,3.98,0.54,14.1,0,8,3
"624",5,7.9,1.53,0.28,12.9,0.032,-209,63,0.98327,2.93,-0.52,22.4,1,9,2
"625",5,10.2,0.29,0.49,89.8,0.126,5,417,0.9976,3.05,-0.97,10.5,0,11,2
"626",4,7,0.2,1.57,36,0.368,179,557,0.99585,2.86,0.54,4.1,0,8,2
"627",3,-1.4,0.41,0,7.8,0.185,-115,188,0.99576,2.15,1.66,4.4,0,7,2
"628",0,6.8,0.67,-1.31,-27.3,0.05,53,11,0.95713,2.8,1.91,9.5,1,7,NA
"629",0,7.6,0.7,-0.83,-28.9,0.069,8,19,1.03361,5.36,-1.26,10,-1,10,NA
"630",2,8.2,1.2,-1.13,5.1,0.062,-234,-416,1.00583,3.22,0.94,14.6,-2,9,NA
"631",4,8.4,-0.4,1.63,-77.7,0.14,11,18,0.99807,3.48,2.29,15.5,0,6,3
"632",4,6.6,0.28,1,12.9,0.033,31,177,0.99479,4.22,0.1,13.7,0,7,2
"633",4,-0.4,-0.655,0.34,-10.8,0.972,-135,555,1.03982,1.22,0.74,11.2,0,8,2
"634",4,7.6,0.16,0.41,-73.2,0.047,59,-108,1.00365,3.2,0.3,10.1,0,8,1
"635",4,3.1,-0.9,0.24,-60,0.042,24,72,0.97434,3.03,0.37,10.9,0,6,1
"636",2,-6.1,-0.95,0.91,63.3,-0.522,38,-7,0.99622,3.28,0.5,9.9,-1,7,NA
"637",4,5.3,0.41,0.56,59.6,0.238,46,-374,0.99119,3.16,0.62,3.3,1,6,2
"638",0,9.2,0.6,0.02,46.4,-0.203,-209,474,1.00034,3.15,-1.01,15.2,1,12,NA
"639",4,5.9,1.24,0.24,9.3,0.034,-94,467,0.995,2.27,0.42,5.6,0,6,2
"640",3,7.5,0.18,0.34,1.3,0.055,50,153,0.97759,2.04,0.07,7.8,-1,8,2
